,row_0,col_0,label_0,row_1,col_1,label_1,row_2,col_2,label_2,row_3,col_3,label_3,row_4,col_4,label_4,row_5,col_5,label_5,row_6,col_6,label_6,row_7,col_7,label_7,row_8,col_8,label_8,row_9,col_9,label_9
0,69,100,0,67,96,0,69,97,0,70,96,0,71,96,0,69,100,0,69,97,0,67,97,0,72,95,0,67,96,0
1,72,96,0,64,96,0,69,100,0,73,98,0,70,99,0,71,99,0,70,99,0,71,101,0,66,97,0,69,101,0
2,73,99,0,73,99,0,69,101,0,67,97,0,70,101,0,73,100,0,72,101,0,69,97,0,72,101,0,71,101,0
3,71,100,0,69,97,0,64,96,0,74,100,0,72,96,0,71,98,0,68,97,0,67,99,0,71,100,0,72,98,0
4,77,91,1,74,74,1,49,61,1,40,106,1,30,40,1,49,66,1,64,106,1,38,37,1,46,66,1,21,15,1
5,32,59,1,59,95,1,47,60,1,37,38,1,43,38,1,78,91,1,44,67,1,73,90,1,83,74,1,20,11,1
6,78,93,1,43,55,1,82,82,1,33,26,1,43,67,1,22,23,1,73,79,1,33,40,1,58,101,1,74,82,1
7,45,68,1,45,69,1,41,67,1,51,104,1,77,76,1,76,92,1,33,26,1,20,13,1,73,90,1,47,58,1
8,127,17,2,3,15,2,134,42,2,30,20,2,126,45,2,2,14,2,70,14,2,134,43,2,129,22,2,131,37,2
9,11,14,2,5,10,2,2,2,2,13,14,2,69,9,2,2,12,2,133,44,2,65,8,2,12,21,2,6,4,2
10,134,29,2,133,32,2,34,21,2,6,4,2,134,22,2,15,15,2,2,2,2,31,15,2,66,6,2,1,22,2
11,60,19,2,128,37,2,67,6,2,1,9,2,4,22,2,14,15,2,126,33,2,60,20,2,34,22,2,5,21,2
12,45,19,3,39,16,3,40,13,3,48,17,3,33,7,3,41,7,3,36,11,3,37,16,3,45,8,3,44,23,3
13,40,14,3,47,23,3,43,23,3,39,13,3,48,23,3,45,19,3,43,12,3,45,15,3,49,21,3,45,10,3
