,row_0,col_0,label_0,row_1,col_1,label_1,row_2,col_2,label_2,row_3,col_3,label_3,row_4,col_4,label_4,row_5,col_5,label_5,row_6,col_6,label_6,row_7,col_7,label_7,row_8,col_8,label_8,row_9,col_9,label_9
0,71,97,0,73,101,0,65,97,0,70,98,0,72,97,0,71,100,0,71,97,0,71,101,0,71,98,0,73,101,0
1,72,96,0,72,97,0,71,98,0,71,101,0,71,101,0,65,97,0,67,97,0,65,96,0,72,98,0,70,99,0
2,68,100,0,69,97,0,68,100,0,69,97,0,66,96,0,68,97,0,70,98,0,73,99,0,71,100,0,72,98,0
3,73,98,0,72,98,0,71,96,0,68,100,0,68,98,0,72,95,0,70,100,0,69,96,0,64,96,0,69,101,0
4,68,97,0,72,95,0,69,101,0,67,96,0,69,100,0,69,97,0,69,101,0,70,101,0,70,101,0,71,99,0
5,74,100,0,69,98,0,72,100,0,71,97,0,69,98,0,69,98,0,69,97,0,72,98,0,74,100,0,72,96,0
6,44,68,1,62,105,1,80,88,1,86,77,1,54,96,1,37,40,1,38,49,1,83,73,1,18,12,1,79,81,1
7,33,35,1,54,104,1,34,29,1,46,54,1,62,101,1,77,86,1,19,8,1,36,45,1,25,17,1,20,11,1
8,56,99,1,30,30,1,31,27,1,39,28,1,37,52,1,47,100,1,22,17,1,83,82,1,40,44,1,39,26,1
9,81,73,1,41,61,1,81,84,1,60,99,1,81,88,1,19,13,1,37,54,1,43,101,1,23,12,1,48,101,1
10,39,32,1,88,74,1,74,92,1,34,54,1,79,73,1,44,66,1,17,17,1,38,31,1,65,45,1,73,90,1
11,32,40,1,78,75,1,52,103,1,40,106,1,30,45,1,17,16,1,81,85,1,70,40,1,42,33,1,41,62,1
12,60,6,2,134,30,2,0,12,2,34,22,2,70,7,2,5,2,2,1,13,2,14,18,2,30,19,2,70,14,2
13,129,35,2,1,3,2,126,23,2,132,44,2,60,11,2,133,34,2,134,17,2,1,15,2,64,15,2,3,21,2
14,4,0,2,62,3,2,1,21,2,66,18,2,35,19,2,2,0,2,3,1,2,132,21,2,30,15,2,1,15,2
15,69,11,2,12,22,2,130,23,2,6,5,2,69,20,2,128,45,2,70,13,2,62,7,2,131,17,2,32,22,2
16,132,24,2,133,25,2,64,20,2,67,9,2,6,22,2,5,23,2,4,9,2,131,45,2,65,14,2,7,10,2
17,63,12,2,127,44,2,68,7,2,63,11,2,1,18,2,64,11,2,16,20,2,6,22,2,130,29,2,64,4,2
18,44,22,3,42,7,3,35,3,3,34,11,3,46,10,3,38,11,3,42,11,3,46,7,3,36,6,3,46,9,3
19,41,9,3,39,4,3,41,13,3,49,19,3,43,23,3,39,5,3,44,20,3,38,3,3,37,7,3,32,7,3
20,43,18,3,39,15,3,44,16,3,35,11,3,49,17,3,38,3,3,47,13,3,49,12,3,49,13,3,43,12,3
21,40,16,3,39,16,3,45,8,3,34,7,3,45,18,3,39,9,3,43,11,3,32,4,3,47,10,3,45,12,3
22,34,3,3,49,13,3,34,7,3,43,10,3,39,4,3,44,21,3,39,16,3,46,14,3,36,10,3,38,6,3
23,47,20,3,35,8,3,47,19,3,40,8,3,37,4,3,36,6,3,41,15,3,38,5,3,35,12,3,49,17,3
24,69,115,4,70,115,4,77,113,4,87,12,4,120,52,4,76,20,4,80,114,4,79,4,4,86,15,4,84,21,4
25,83,1,4,83,15,4,13,26,4,81,14,4,75,114,4,78,18,4,116,48,4,71,116,4,79,1,4,74,18,4
26,76,12,4,76,13,4,86,4,4,124,48,4,80,116,4,76,116,4,73,115,4,8,26,4,79,17,4,119,54,4
27,119,50,4,87,12,4,68,113,4,82,1,4,83,15,4,80,12,4,10,26,4,121,49,4,78,10,4,84,19,4
28,123,52,4,77,3,4,74,116,4,79,2,4,80,3,4,79,19,4,74,5,4,86,9,4,78,4,4,77,113,4
29,78,19,4,75,21,4,83,2,4,76,2,4,123,54,4,77,18,4,87,7,4,120,48,4,126,54,4,79,22,4
30,63,30,5,107,57,5,108,68,5,107,75,5,111,89,5,67,31,5,101,61,5,110,63,5,51,29,5,104,65,5
31,63,31,5,57,30,5,105,68,5,63,28,5,66,29,5,105,63,5,49,27,5,62,31,5,99,90,5,109,73,5
32,105,73,5,97,81,5,53,27,5,65,28,5,99,75,5,109,70,5,113,58,5,51,35,5,96,79,5,103,88,5
33,98,69,5,100,61,5,48,35,5,113,67,5,114,62,5,60,30,5,99,86,5,99,70,5,64,30,5,48,33,5
34,102,67,5,104,62,5,107,67,5,69,32,5,70,33,5,59,26,5,109,63,5,110,59,5,59,31,5,49,34,5
35,97,75,5,48,34,5,51,34,5,62,33,5,105,62,5,57,27,5,106,69,5,106,92,5,56,26,5,61,33,5
36,72,109,6,78,108,6,72,110,6,76,110,6,73,110,6,78,108,6,75,111,6,74,108,6,77,110,6,73,111,6
37,75,110,6,73,109,6,75,111,6,77,110,6,76,111,6,73,108,6,73,109,6,75,109,6,78,109,6,77,109,6
