,row_0,col_0,label_0,row_1,col_1,label_1,row_2,col_2,label_2,row_3,col_3,label_3,row_4,col_4,label_4,row_5,col_5,label_5,row_6,col_6,label_6,row_7,col_7,label_7,row_8,col_8,label_8,row_9,col_9,label_9
0,70,99,0,69,99,0,72,95,0,66,97,0,69,98,0,68,97,0,70,96,0,68,96,0,74,100,0,64,96,0
1,73,101,0,72,95,0,71,101,0,66,96,0,67,99,0,69,100,0,68,97,0,67,97,0,65,97,0,71,100,0
2,73,100,0,67,98,0,70,101,0,73,101,0,64,96,0,66,96,0,72,99,0,70,97,0,72,97,0,68,99,0
3,73,98,0,72,101,0,72,100,0,68,96,0,70,99,0,74,100,0,67,96,0,68,99,0,71,96,0,72,99,0
4,74,100,0,67,99,0,72,97,0,68,98,0,71,97,0,72,97,0,66,97,0,72,98,0,72,101,0,68,100,0
5,67,99,0,73,98,0,69,101,0,68,97,0,67,97,0,70,97,0,71,96,0,73,100,0,69,101,0,71,97,0
6,69,97,0,71,97,0,69,98,0,70,99,0,68,98,0,65,97,0,70,101,0,70,96,0,68,96,0,73,100,0
7,67,97,0,70,99,0,68,100,0,70,96,0,68,99,0,70,96,0,68,99,0,68,98,0,70,99,0,66,96,0
8,70,101,0,69,100,0,70,96,0,70,98,0,66,96,0,66,97,0,70,97,0,70,101,0,72,100,0,72,101,0
9,66,98,0,69,98,0,70,98,0,67,98,0,70,97,0,67,97,0,72,95,0,67,96,0,65,96,0,68,96,0
10,69,96,0,71,101,0,69,97,0,71,98,0,66,98,0,71,98,0,72,97,0,68,97,0,72,98,0,69,97,0
11,71,99,0,71,100,0,69,100,0,72,101,0,72,99,0,70,98,0,73,101,0,71,97,0,71,101,0,68,98,0
12,51,68,1,30,46,1,24,20,1,48,70,1,78,79,1,38,55,1,60,106,1,75,73,1,36,40,1,76,74,1
13,36,45,1,79,82,1,19,19,1,41,54,1,20,22,1,44,42,1,35,33,1,73,73,1,30,42,1,49,61,1
14,73,83,1,42,47,1,75,89,1,42,95,1,40,106,1,32,54,1,40,106,1,24,21,1,77,85,1,41,30,1
15,80,88,1,38,51,1,36,57,1,46,68,1,30,44,1,33,26,1,54,96,1,35,46,1,76,80,1,67,38,1
16,36,51,1,49,97,1,42,106,1,91,82,1,90,74,1,51,68,1,49,98,1,21,20,1,40,42,1,77,88,1
17,56,97,1,89,80,1,64,46,1,21,12,1,49,68,1,53,96,1,49,64,1,33,32,1,88,82,1,54,103,1
18,37,59,1,54,103,1,31,26,1,38,44,1,54,99,1,30,43,1,37,31,1,47,55,1,31,47,1,42,65,1
19,45,59,1,42,43,1,88,81,1,52,101,1,18,11,1,48,99,1,25,6,1,37,55,1,34,40,1,42,37,1
20,35,58,1,67,43,1,53,100,1,26,20,1,26,5,1,49,68,1,69,41,1,22,13,1,33,47,1,49,96,1
21,31,40,1,55,104,1,80,78,1,42,104,1,68,38,1,78,82,1,39,29,1,55,105,1,40,48,1,45,61,1
22,78,92,1,19,16,1,43,100,1,62,99,1,70,44,1,85,74,1,36,52,1,67,38,1,45,50,1,49,106,1
23,21,7,1,18,18,1,46,54,1,34,49,1,39,52,1,43,43,1,31,29,1,18,14,1,42,61,1,33,55,1
24,134,43,2,133,17,2,35,20,2,1,1,2,128,22,2,130,38,2,11,17,2,3,20,2,6,19,2,60,20,2
25,68,12,2,60,13,2,30,17,2,32,17,2,66,8,2,134,20,2,129,22,2,32,11,2,129,45,2,59,4,2
26,1,14,2,11,21,2,7,10,2,127,43,2,60,16,2,127,27,2,130,17,2,4,20,2,1,7,2,13,14,2
27,34,22,2,34,21,2,1,12,2,130,43,2,31,23,2,70,8,2,129,20,2,13,18,2,10,23,2,8,7,2
28,33,16,2,11,17,2,2,17,2,130,40,2,3,21,2,133,17,2,9,5,2,2,15,2,35,19,2,61,18,2
29,0,0,2,65,20,2,7,4,2,130,29,2,67,11,2,127,26,2,11,19,2,0,3,2,11,17,2,130,44,2
30,4,5,2,132,45,2,32,13,2,67,8,2,132,27,2,133,28,2,64,3,2,16,20,2,15,21,2,13,22,2
31,126,20,2,4,7,2,63,10,2,3,15,2,130,25,2,129,37,2,134,24,2,129,33,2,7,9,2,67,11,2
32,64,16,2,65,6,2,64,18,2,7,10,2,130,19,2,12,14,2,1,8,2,70,7,2,128,42,2,68,6,2
33,31,23,2,132,30,2,127,38,2,5,12,2,62,6,2,129,21,2,5,6,2,15,18,2,69,17,2,66,19,2
34,16,22,2,67,19,2,7,23,2,67,6,2,59,16,2,134,18,2,128,38,2,4,2,2,12,19,2,65,18,2
35,66,15,2,14,19,2,60,14,2,70,7,2,132,23,2,4,21,2,13,15,2,5,7,2,66,17,2,62,9,2
36,48,12,3,44,22,3,34,11,3,49,21,3,37,6,3,40,11,3,43,15,3,42,11,3,34,8,3,44,13,3
37,46,8,3,47,18,3,46,10,3,46,20,3,38,4,3,41,8,3,33,9,3,40,15,3,39,5,3,48,17,3
38,35,4,3,48,14,3,37,5,3,45,16,3,43,21,3,48,14,3,39,11,3,34,7,3,49,7,3,44,12,3
39,48,20,3,46,10,3,49,23,3,34,8,3,47,8,3,48,19,3,46,14,3,41,8,3,35,6,3,47,18,3
40,46,17,3,49,22,3,37,11,3,38,4,3,36,12,3,36,7,3,43,10,3,44,13,3,38,3,3,41,12,3
41,46,11,3,47,9,3,36,5,3,45,19,3,46,7,3,46,12,3,43,8,3,39,16,3,46,18,3,34,8,3
42,45,23,3,38,4,3,36,8,3,38,11,3,38,11,3,43,11,3,46,19,3,36,7,3,36,4,3,45,20,3
43,43,14,3,37,3,3,43,10,3,43,10,3,35,9,3,48,9,3,42,7,3,39,14,3,38,4,3,47,17,3
44,38,14,3,40,12,3,47,7,3,47,15,3,43,18,3,48,8,3,39,5,3,49,22,3,46,10,3,47,22,3
45,42,7,3,35,8,3,40,15,3,38,10,3,37,4,3,36,11,3,42,16,3,47,19,3,37,12,3,42,16,3
