,row_0,col_0,label_0,row_1,col_1,label_1,row_2,col_2,label_2,row_3,col_3,label_3,row_4,col_4,label_4,row_5,col_5,label_5,row_6,col_6,label_6,row_7,col_7,label_7,row_8,col_8,label_8,row_9,col_9,label_9
0,72,98,0,70,100,0,72,100,0,69,101,0,66,96,0,72,96,0,69,101,0,65,97,0,66,97,0,69,96,0
1,72,100,0,69,97,0,74,101,0,64,96,0,74,100,0,64,96,0,72,96,0,69,99,0,65,96,0,70,97,0
2,67,96,0,69,96,0,68,97,0,70,97,0,70,99,0,70,101,0,69,98,0,71,101,0,68,96,0,68,99,0
3,69,96,0,70,96,0,67,97,0,66,98,0,72,96,0,73,101,0,68,98,0,67,97,0,72,100,0,72,101,0
4,71,96,0,64,96,0,66,96,0,71,101,0,66,98,0,69,96,0,71,96,0,68,99,0,69,100,0,73,101,0
5,35,48,1,42,59,1,25,15,1,36,31,1,59,97,1,42,58,1,67,46,1,40,30,1,70,38,1,38,37,1
6,18,12,1,31,38,1,37,54,1,49,97,1,90,79,1,82,79,1,49,96,1,86,78,1,35,48,1,34,27,1
7,86,82,1,87,73,1,85,75,1,89,81,1,31,41,1,77,89,1,36,50,1,41,103,1,36,53,1,17,8,1
8,30,42,1,42,51,1,66,39,1,32,43,1,44,97,1,25,17,1,80,76,1,47,105,1,43,95,1,31,52,1
9,31,35,1,74,80,1,24,21,1,79,84,1,19,14,1,84,76,1,47,104,1,40,32,1,89,80,1,67,43,1
10,12,21,2,61,16,2,8,18,2,5,11,2,3,15,2,9,15,2,70,10,2,128,23,2,2,23,2,69,7,2
11,132,22,2,61,9,2,126,24,2,68,15,2,134,44,2,130,17,2,65,17,2,127,40,2,0,0,2,0,6,2
12,33,23,2,69,13,2,126,41,2,130,31,2,6,23,2,14,17,2,59,9,2,131,37,2,8,5,2,67,4,2
13,134,27,2,31,20,2,127,45,2,129,27,2,133,35,2,14,16,2,9,6,2,61,7,2,67,4,2,64,16,2
14,65,16,2,13,17,2,131,46,2,60,19,2,64,18,2,12,16,2,129,37,2,128,45,2,127,35,2,13,15,2
15,49,15,3,47,8,3,34,8,3,41,12,3,35,13,3,47,22,3,48,23,3,49,22,3,48,10,3,45,19,3
16,49,10,3,47,13,3,37,12,3,47,21,3,39,7,3,44,8,3,45,18,3,49,20,3,35,7,3,41,13,3
17,37,4,3,38,13,3,42,11,3,38,6,3,34,9,3,44,9,3,41,9,3,34,7,3,41,16,3,35,4,3
18,35,5,3,38,9,3,35,12,3,48,18,3,42,12,3,36,4,3,46,8,3,38,3,3,48,19,3,39,4,3
19,45,10,3,44,16,3,40,15,3,38,10,3,38,7,3,35,9,3,48,15,3,35,11,3,36,12,3,43,19,3
20,116,53,4,83,13,4,116,55,4,80,7,4,125,55,4,12,25,4,83,14,4,84,12,4,79,21,4,117,50,4
21,73,113,4,119,51,4,122,53,4,123,52,4,85,2,4,75,12,4,87,15,4,82,6,4,82,1,4,84,2,4
22,76,11,4,124,48,4,121,48,4,84,12,4,12,25,4,76,116,4,72,116,4,78,11,4,120,55,4,77,7,4
23,84,1,4,73,116,4,78,12,4,74,2,4,73,10,4,69,116,4,11,25,4,81,14,4,117,53,4,78,11,4
24,86,3,4,121,48,4,77,17,4,14,25,4,82,10,4,70,116,4,118,55,4,80,18,4,11,25,4,81,4,4
25,106,78,5,68,30,5,104,81,5,104,57,5,113,63,5,56,35,5,102,80,5,57,35,5,62,31,5,104,64,5
26,43,27,5,70,34,5,106,66,5,99,85,5,56,26,5,98,73,5,64,26,5,110,74,5,54,28,5,102,64,5
27,56,26,5,107,93,5,103,90,5,44,28,5,70,28,5,100,88,5,103,79,5,102,64,5,48,29,5,112,57,5
28,52,28,5,96,76,5,111,61,5,98,74,5,66,32,5,65,28,5,61,34,5,108,60,5,103,68,5,113,63,5
29,46,31,5,99,69,5,62,34,5,49,28,5,111,65,5,101,65,5,98,57,5,44,26,5,105,90,5,50,28,5
30,78,109,6,75,108,6,75,110,6,78,108,6,76,108,6,78,108,6,75,109,6,78,111,6,76,110,6,76,110,6
31,75,110,6,72,109,6,78,111,6,74,108,6,77,111,6,77,108,6,73,110,6,75,109,6,74,108,6,75,108,6
32,72,110,6,74,108,6,74,109,6,73,108,6,75,111,6,78,111,6,72,108,6,75,110,6,72,111,6,78,108,6
33,78,111,6,76,108,6,72,109,6,75,110,6,73,108,6,72,109,6,75,110,6,77,111,6,77,109,6,73,109,6
34,74,111,6,75,109,6,78,109,6,72,111,6,77,108,6,77,109,6,77,109,6,78,109,6,72,109,6,75,111,6
35,57,131,7,56,127,7,37,129,7,49,134,7,44,138,7,43,134,7,43,134,7,54,128,7,44,139,7,59,132,7
36,45,137,7,41,126,7,38,128,7,42,127,7,39,132,7,49,126,7,57,138,7,41,139,7,36,124,7,47,132,7
37,40,125,7,55,125,7,41,132,7,36,138,7,50,122,7,47,135,7,38,125,7,34,127,7,33,128,7,59,123,7
38,57,128,7,39,134,7,57,132,7,44,131,7,37,132,7,36,139,7,59,124,7,40,136,7,53,137,7,57,137,7
39,51,123,7,44,127,7,49,134,7,33,129,7,38,130,7,46,134,7,41,138,7,59,127,7,56,123,7,39,124,7
40,63,22,8,70,22,8,68,22,8,68,22,8,68,22,8,62,22,8,62,22,8,67,22,8,66,22,8,65,23,8
41,62,22,8,70,23,8,63,22,8,62,23,8,62,22,8,62,23,8,66,23,8,69,22,8,65,22,8,63,23,8
42,61,23,8,65,23,8,67,23,8,61,23,8,62,23,8,66,23,8,67,22,8,63,23,8,67,23,8,64,23,8
43,67,22,8,67,23,8,69,23,8,64,23,8,70,23,8,69,23,8,65,22,8,64,23,8,70,23,8,68,22,8
44,65,23,8,69,22,8,65,22,8,63,23,8,66,23,8,61,23,8,65,23,8,70,22,8,69,23,8,69,22,8
45,38,83,9,52,77,9,65,80,9,48,79,9,43,109,9,50,87,9,56,92,9,11,30,9,141,30,9,69,89,9
46,38,88,9,58,108,9,41,89,9,53,88,9,50,82,9,138,45,9,34,74,9,49,82,9,11,32,9,53,81,9
47,60,91,9,142,29,9,65,83,9,69,91,9,42,87,9,11,33,9,52,73,9,40,82,9,139,37,9,56,73,9
48,69,92,9,49,74,9,142,28,9,31,81,9,37,90,9,141,38,9,35,82,9,45,79,9,48,76,9,42,80,9
49,57,80,9,64,78,9,50,84,9,43,86,9,34,91,9,41,73,9,55,74,9,52,77,9,45,84,9,50,80,9
50,106,51,10,11,107,10,96,35,10,84,61,10,59,57,10,94,62,10,55,47,10,42,116,10,76,65,10,94,30,10
51,77,45,10,85,32,10,67,53,10,95,55,10,57,47,10,86,68,10,95,52,10,91,63,10,50,117,10,109,39,10
52,64,56,10,111,53,10,100,35,10,99,42,10,74,67,10,49,113,10,104,49,10,78,48,10,114,44,10,102,50,10
53,89,59,10,93,64,10,73,44,10,86,48,10,80,60,10,91,70,10,94,68,10,61,50,10,97,27,10,60,45,10
54,98,49,10,50,114,10,113,40,10,56,114,10,75,36,10,74,45,10,67,70,10,9,100,10,81,42,10,66,70,10
55,57,13,11,51,20,11,15,58,11,20,41,11,56,5,11,8,44,11,12,43,11,52,18,11,13,56,11,18,39,11
56,8,38,11,22,37,11,10,39,11,20,62,11,6,40,11,13,44,11,19,66,11,54,18,11,57,10,11,15,54,11
57,17,65,11,57,6,11,16,43,11,24,52,11,57,9,11,13,36,11,26,60,11,22,40,11,13,55,11,13,41,11
58,21,57,11,17,38,11,23,68,11,2,29,11,17,40,11,23,37,11,24,52,11,24,54,11,51,19,11,21,68,11
