,row_0,col_0,label_0,row_1,col_1,label_1,row_2,col_2,label_2,row_3,col_3,label_3,row_4,col_4,label_4,row_5,col_5,label_5,row_6,col_6,label_6,row_7,col_7,label_7,row_8,col_8,label_8,row_9,col_9,label_9
0,70,100,0,69,97,0,72,98,0,70,98,0,68,100,0,71,100,0,72,95,0,67,97,0,71,101,0,74,100,0
1,70,97,0,68,100,0,72,96,0,72,95,0,73,100,0,70,100,0,74,100,0,70,97,0,66,96,0,73,100,0
2,71,97,0,73,101,0,69,97,0,67,97,0,66,96,0,72,101,0,68,96,0,67,99,0,72,101,0,66,96,0
3,35,45,1,75,82,1,41,50,1,48,99,1,78,76,1,88,73,1,44,97,1,22,23,1,76,75,1,73,77,1
4,56,103,1,51,95,1,43,105,1,25,7,1,36,57,1,92,77,1,36,59,1,73,85,1,43,37,1,86,82,1
5,57,96,1,46,67,1,42,51,1,43,103,1,64,46,1,31,34,1,20,15,1,83,73,1,32,28,1,42,95,1
6,2,8,2,134,39,2,128,29,2,65,14,2,6,4,2,11,23,2,2,15,2,68,20,2,35,21,2,31,18,2
7,131,30,2,0,7,2,131,36,2,33,19,2,127,23,2,4,10,2,61,12,2,126,26,2,2,3,2,70,17,2
8,130,38,2,60,9,2,32,21,2,66,18,2,134,27,2,6,2,2,130,41,2,134,18,2,66,6,2,134,35,2
9,44,12,3,49,10,3,35,8,3,37,10,3,48,15,3,49,23,3,37,15,3,44,15,3,49,20,3,34,5,3
10,48,11,3,39,3,3,39,11,3,49,20,3,46,15,3,44,17,3,38,12,3,47,11,3,49,16,3,33,8,3
11,48,17,3,41,16,3,38,9,3,47,14,3,45,8,3,43,14,3,48,16,3,37,13,3,45,12,3,47,22,3
12,78,17,4,86,1,4,85,20,4,122,48,4,75,115,4,80,9,4,84,20,4,83,15,4,85,20,4,79,12,4
13,73,15,4,75,16,4,84,1,4,83,14,4,75,19,4,86,9,4,75,6,4,123,51,4,77,18,4,84,5,4
14,121,49,4,10,25,4,85,15,4,119,53,4,84,15,4,122,55,4,85,1,4,76,17,4,126,51,4,79,4,4
15,67,27,5,112,67,5,65,27,5,102,68,5,101,92,5,114,58,5,111,63,5,63,28,5,54,33,5,104,59,5
16,95,82,5,112,69,5,70,35,5,61,33,5,105,61,5,61,30,5,61,27,5,110,60,5,106,89,5,98,59,5
17,50,27,5,110,90,5,61,29,5,50,29,5,46,31,5,47,31,5,56,27,5,100,74,5,102,62,5,101,69,5
18,74,110,6,77,109,6,73,108,6,73,108,6,75,108,6,73,109,6,74,108,6,73,108,6,75,111,6,73,108,6
19,76,110,6,74,109,6,72,111,6,75,108,6,72,111,6,78,108,6,77,111,6,72,109,6,78,108,6,72,111,6
20,75,108,6,74,108,6,77,111,6,73,109,6,72,109,6,75,110,6,78,109,6,75,109,6,76,108,6,76,108,6
21,34,129,7,44,134,7,38,136,7,39,131,7,59,128,7,58,129,7,52,130,7,44,123,7,59,131,7,57,133,7
22,48,131,7,36,127,7,37,139,7,46,124,7,52,129,7,44,133,7,50,121,7,40,136,7,55,129,7,59,131,7
23,38,124,7,40,126,7,39,121,7,34,129,7,37,131,7,50,130,7,42,136,7,43,138,7,56,137,7,36,137,7
24,68,23,8,64,22,8,65,22,8,70,23,8,64,22,8,63,22,8,68,23,8,65,22,8,61,23,8,68,23,8
25,66,22,8,61,22,8,65,23,8,63,23,8,68,22,8,69,23,8,61,22,8,61,22,8,67,23,8,69,22,8
26,63,23,8,68,23,8,63,22,8,69,23,8,67,22,8,63,23,8,70,23,8,68,23,8,66,22,8,64,23,8
27,13,28,9,60,89,9,60,82,9,60,77,9,65,88,9,62,84,9,57,80,9,45,80,9,37,91,9,42,91,9
28,46,83,9,33,84,9,52,75,9,49,109,9,31,83,9,57,110,9,62,85,9,55,88,9,45,91,9,35,82,9
29,43,84,9,39,88,9,52,110,9,44,75,9,49,76,9,42,77,9,55,88,9,42,88,9,31,87,9,137,41,9
30,82,50,10,90,65,10,106,52,10,89,32,10,60,38,10,108,54,10,87,39,10,97,49,10,85,40,10,57,50,10
31,114,53,10,98,28,10,78,33,10,111,27,10,55,50,10,62,55,10,113,33,10,64,54,10,92,38,10,97,28,10
32,109,48,10,16,107,10,77,69,10,88,65,10,113,31,10,86,45,10,85,34,10,79,52,10,90,53,10,75,63,10
33,22,39,11,22,37,11,26,61,11,19,37,11,22,60,11,13,58,11,10,47,11,21,60,11,6,38,11,18,63,11
34,18,66,11,21,59,11,11,56,11,52,6,11,17,42,11,26,61,11,13,55,11,18,54,11,19,69,11,16,61,11
35,19,64,11,22,53,11,51,23,11,18,55,11,17,37,11,57,10,11,14,38,11,16,67,11,23,64,11,53,14,11
36,119,24,12,120,22,12,120,26,12,117,36,12,121,23,12,123,46,12,117,42,12,121,33,12,118,36,12,123,20,12
37,121,30,12,117,30,12,123,24,12,120,34,12,122,31,12,118,33,12,121,28,12,120,34,12,121,25,12,123,27,12
38,121,36,12,117,42,12,124,45,12,121,29,12,119,45,12,123,37,12,123,40,12,122,46,12,118,39,12,118,30,12
39,119,111,13,134,91,13,122,86,13,127,84,13,13,123,13,127,120,13,119,108,13,126,111,13,136,107,13,132,83,13
40,37,105,13,121,116,13,124,116,13,130,89,13,134,120,13,120,97,13,138,112,13,37,112,13,29,99,13,117,100,13
41,19,126,13,132,105,13,128,114,13,30,109,13,129,97,13,124,124,13,138,97,13,125,99,13,136,98,13,121,87,13
42,8,85,14,3,71,14,0,74,14,27,31,14,12,88,14,26,29,14,3,84,14,9,80,14,8,73,14,17,28,14
43,5,89,14,9,84,14,27,32,14,2,74,14,7,94,14,19,29,14,24,31,14,3,71,14,2,90,14,25,29,14
44,6,91,14,7,90,14,9,76,14,22,27,14,4,91,14,3,77,14,3,91,14,8,71,14,20,30,14,7,89,14
45,16,49,15,21,48,15,17,47,15,25,49,15,23,45,15,22,47,15,27,50,15,22,44,15,15,46,15,21,49,15
46,27,49,15,24,48,15,17,51,15,21,49,15,15,52,15,16,49,15,17,47,15,17,45,15,21,46,15,21,48,15
47,15,48,15,25,50,15,17,46,15,19,48,15,13,48,15,23,45,15,24,45,15,13,48,15,20,45,15,25,47,15
